         NOMBRE DE TORNEO,FECHA,       BUY IN,TOTAL PAGADO,ITM,    POSICIÓN,TOTAL PLAYERS,      PREMIO,TIPO,JUGADORES POR MESA,Mesa Final,CIEGAS INICIALES,TIEMPO POR NIVEL DE CIEGA (MINS),REGISTRO TARDIO (MINS),CIEGAS AL CIERRE DE BURBUJA
MYSTERY FEVER 15000 GTD,8/10/2024,"10,00 €","10,00 €",NO,865,1299,"0,00 €",MYSTERY,8,-857,125,8,115,0
BOUNTY NIGHT 5000 E GTD,8/10/2024,"10,00 €","10,00 €",NO,398,616,"0,00 €",PKO,8,-390,200,7,120,0
MYSTERY FEVER 10000 E GTD,8/10/2024,"10,00 €","10,00 €",NO,397,1617,"0,00 €",MYSTERY,8,-389,125,5,75,0
MINI HOT STACK,8/10/2024,"5,00 €","5,00 €",NO,337,1387,"0,00 €",NORMAL,8,-329,500,5,90,0
MIDNIGHT EXPRESS,9/10/2024,"20,00 €","20,00 €",NO,104,157,"0,00 €",NORMAL,8,-96,25,3,15,0
BOUNTY BUILDER 3000 GTD,9/10/2024,"10,00 €","10,00 €",NO,301,425,"0,00 €",PKO,6,-295,66,4,38,0
KO PROGRESIVO 1000 E GTD,9/10/2024,"5,00 €","5,00 €",NO,242,432,"0,00 €",PKO,9,-233,83,5,37,0
SUPER STACK 1500 E GTD,9/10/2024,"5,00 €","5,00 €",NO,181,343,"0,00 €",NORMAL,6,-175,50,5,47,0
SUPER STACK 2000 E GTD,9/10/2024,"5,00 €","10,00 €",NO,295,560,"0,00 €",NORMAL,6,-289,50,10,62,0
ULTRA KO 350 E GTD,9/10/2024,"1,00 €","1,00 €",NO,150,480,"2,60 €",PKO,6,-144,100,8,89,0
SUPER KO 500 E GTD,9/10/2024,"5,00 €","5,00 €",NO,58,110,"0,00 €",PKO,6,-52,25,5,27,0
MYSTERY FEVER 10000 E GTD,9/10/2024,"10,00 €","10,00 €",NO,811,1523,"0,00 €",MYSTERY,8,-803,83,5,58,0
BOUNTY BUILDER 1000 GTD,9/10/2024,"5,00 €","5,00 €",NO,294,458,"0,00 €",PKO,6,-288,100,5,69,0
MINI HOT STACK,9/10/2024,"5,00 €","5,00 €",SI,108,1292,"11,98 €",NORMAL,9,-99,166,5,64,"24,4"
KO PROGRESIVO 700 E GTD,9/10/2024,"3,00 €","3,00 €",NO,137,220,"0,00 €",PKO,8,-129,160,8,116,0
KO PROGRESIVO 1000 E GTD,10/10/2024,"5,00 €","5,00 €",NO,204,260,"0,00 €",PKO,8,-196,200,5,55,0
SUPERSTACK 1500 E GTD,10/10/2024,"5,00 €","5,00 €",NO,121,262,"0,00 €",NORMAL,6,-115,32,5,31,0
KO PROGRESIVO 500 E GTD,10/10/2024,"5,00 €","5,00 €",NO,101,198,"0,00 €",PKO,9,-92,125,8,66,0
WAKE UP,10/10/2024,"5,00 €","5,00 €",NO,184,807,"4,51 €",PKO,6,-178,28,7,18,0
COFFEE TIME,10/10/2024,"10,00 €","10,00 €",NO,355,702,"0,00 €",PKO,6,-349,66,8,73,0
KO PROGRESIVO 500 E GTD,10/10/2024,"5,00 €","5,00 €",NO,48,159,"0,00 €",PKO,9,-39,167,6,78,0
SUPER STACK 750 E GTD,10/10/2024,"5,00 €","5,00 €",NO,51,258,"0,00 €",NORMAL,6,-45,100,10,118,0
FAST FOOD,10/10/2024,"5,00 €","5,00 €",NO,529,1082,"0,00 €",PKO,8,-521,100,3,35,0
KO PROGRESIVO 1000 E GTD,10/10/2024,"5,00 €","5,00 €",NO,164,250,"0,00 €",PKO,6,-158,200,10,120,0
MYSTERY FEVER 7500 E GTD,10/10/2024,"5,00 €","5,00 €",NO,864,1739,"0,00 €",MYSTERY,8,-856,100,8,107,0
SUPER STACK 3000 E GTD,10/10/2024,"5,00 €","5,00 €",NO,201,971,"0,00 €",NORMAL,6,-195,70,10,75,0
MINI THUNDER 15000 E GTD,10/10/2024,"10,00 €","10,00 €",NO,721,1708,"9,01 €",PKO,8,-713,83,8,110,0
MYSTERY FEVER 10000 E GTD,10/10/2024,"5,00 €","5,00 €",SI,438,2676,"8,01 €",MYSTERY,8,-430,125,8,120,0
